id,name,salary,location,work-type
50,Softwareentwickler (m/w/d)- job post,48.000 € – 60.000 € pro Jahr,Chemnitz,Vollzeit
51,Software Developer C++/Qt (m/w/d)- job post,45.000 € – 50.000 € pro Jahr,Berlin,Vollzeit
52,Softwareentwickler Frontend | Schwerpunkt Vue.JS (m/w/d) - remote / hybrid- job post,Ab 45.000 € pro Jahr,30175 Hannover•Homeoffice,Festanstellung
53,Softwareentwickler - Mobile Apps / ASP NET Core / JavaScript Frameworks / CSS (m/w/d)- job post,75.000 € pro Jahr,82008 Unterhaching,Vollzeit
54,Softwareentwickler - C++ / MCOSMOS / 3D-Plots (m/w/d)- job post,90.000 € pro Jahr,78727 Oberndorf am Neckar,Vollzeit
55,Software Developer C++/Qt (m/w/d)- job post,45.000 € – 50.000 € pro Jahr,Berlin,Vollzeit
56,Softwareentwickler C# (m/w/d)- job post,48.000 € – 70.000 € pro Jahr,Filderstadt
57,Softwareentwickler Backend C# (ALL) - ILSFELD- job post,50.000 € – 70.000 € pro Jahr,Ilsfeld•Hybrides Arbeiten,Festanstellung
58,Softwareentwickler (m/w/d)- job post,48.000 € – 60.000 € pro Jahr,Chemnitz,Vollzeit
59,Softwareentwickler/-in (m/w/d)- job post,30.000 € – 60.000 € pro Jahr,25746 Heide,Vollzeit
60,Senior Softwareentwickler (m/w/d)- job post,60.000 € – 70.000 € pro Jahr,Braunschweig,Vollzeit
61,Softwareentwickler - Mobile Apps / ASP NET Core / JavaScript Frameworks / CSS (m/w/d)- job post,,82008 Unterhaching,
62,Softwareentwickler Embedded (m/w/d)- job post,45.000 € – 58.000 € pro Jahr,Glauchau,Vollzeit
63,Software Developer - Anlagensteuerung / IT-Support / Frontend (m/w/d)- job post,57.500 € pro Jahr,32312 Lübbecke,Vollzeit
64,Softwareentwickler - C++ / MCOSMOS / 3D-Plots (m/w/d)- job post,90.000 € pro Jahr,78727 Oberndorf am Neckar,Vollzeit
65,Softwareentwickler | Backend | php (w/m/d) | remote & hybrid- job post,Ab 42.000 € pro Jahr,30175 Hannover•Homeoffice,Vollzeit
66,Softwareentwickler Java (m/w/d)- job post,60.000 € – 75.000 € pro Jahr,Düsseldorf,Vollzeit
67,Softwareentwickler Embedded (m/w/d)- job post,45.000 € – 58.000 € pro Jahr,Glauchau,Vollzeit
68,.NET Software Developer (gn) 100% HomeOffice möglich- job post,2.000 € pro Monat,Homeoffice,Vollzeit
69,Software Developer - Anlagensteuerung / IT-Support / Frontend (m/w/d)- job post,57.500 € pro Jahr,32312 Lübbecke,Vollzeit
70,Softwareentwickler (m/w/d)- job post,48.000 € – 60.000 € pro Jahr,Chemnitz,Vollzeit
71,Softwareentwickler (m/w/d)- job post,40.000 € – 60.000 € pro Jahr,78713 Schramberg•Hybrides Arbeiten,Vollzeit
72,Softwareentwickler Embedded m/w/d- job post,54.000 € – 60.000 € pro Jahr,Korbach,Arbeitnehmerüberlassung
73,Junior Software-Entwickler C#/.NET (m/w/d)- job post,400 € pro Tag,63571 Gelnhausen•Hybrides Arbeiten,Vollzeit
74,Software Developer C++/Qt (m/w/d)- job post,45.000 € – 50.000 € pro Jahr,Berlin,
