gender,city,work_type,company_size,position,level,experience,currency,raise_period,salary
1,1,3,1,Backend Developer / Engineer,3,4,0,2,54.952 TL - 67.202 TL
0,0,2,2,Business Analyst,3,3,0,2,44.704 TL - 54.951 TL
1,0,2,2,Backend Developer / Engineer,1,1,0,3,54.952 TL - 67.202 TL
1,1,1,1,SAP Consultant,1,2,0,1,22.452 TL - 26.802 TL
1,1,2,1,Android Developer,1,2,0,2,44.704 TL - 54.951 TL
1,0,1,1,Fullstack Developer / Engineer,2,2,0,2,54.952 TL - 67.202 TL
1,1,3,1,Frontend Developer / Engineer,2,3,0,2,54.952 TL - 67.202 TL
1,0,3,1,Blockchain Developer / Engineer,3,4,0,1,298.753 TL - 373.502 TL
1,1,2,1,Mobile Developer(Cross Platform),2,2,0,1,29.802 TL - 37.252 TL
1,1,2,1,SAP Consultant,1,1,0,1,22.452 TL - 26.802 TL
1,0,2,1,Embedded Developer / Engineer,3,5,0,1,67.203 TL - 82.652 TL
1,0,3,2,Frontend Developer / Engineer,2,2,0,2,37.253 TL - 44.703 TL
1,0,3,1,Frontend Developer / Engineer,1,2,0,2,22.452 TL - 26.802 TL
1,1,3,1,Fullstack Developer / Engineer,3,4,0,2,44.704 TL - 54.951 TL
1,1,3,1,Software Development Manager,3,4,0,1,44.704 TL - 54.951 TL
1,1,2,2,BI Developer / Engineer,2,2,0,2,17.002 TL - 22.451 TL
1,1,3,1,Fullstack Developer / Engineer,3,4,0,2,54.952 TL - 67.202 TL
1,1,3,1,Software Engineer,1,2,0,2,29.802 TL - 37.252 TL
1,1,3,1,Team Lead,3,8,0,2,44.704 TL - 54.951 TL
1,0,2,2,Data Scientist,1,1,0,1,22.452 TL - 26.802 TL
0,1,3,1,Q/A - Test Automation Engineer,1,2,0,2,44.704 TL - 54.951 TL
1,1,3,3,Product Manager,3,4,0,2,127.553 TL - 150.002 TL
1,1,3,1,Fullstack Developer / Engineer,2,3,0,1,44.704 TL - 54.951 TL
