Cinsiyet,Şirketiniz hangi şehirde? (Eğer Türkiye ise),Çalışma şekliniz nedir?,Şirketinizin çalışan sayısı nedir?,Hangi pozisyonda çalışıyorsunuz?,Çalıştığınız şirketteki unvanınız nedir?,Deneyim,Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?,Kazancınız hangi para biriminde?,Senede kaç kez zam alıyorsunuz?,"Maaş / Aylık Türk Lirası cinsinden          (Ortalama ""NET"" ücret)"
Erkek,34 İstanbul,Remote,1.000-5.000,Backend Developer / Engineer,Senior,5-7 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Remote,5.000-10.000,Backend Developer / Engineer,Senior,12 Yıl ve üzeri,C# / .NET Framework,Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Hybrid,11-20,Backend Developer / Engineer,Junior,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Java ve bağlı framework'ler
SQL",Dolar,1,82.653 TL - 105.102 TL
Erkek,,Remote,21-50,Software Development Manager,Senior,9-12 Yıl,"Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler",Dolar,1,150.003 TL - 195.002 TL
Erkek,06 Ankara,Ofiste,10.000 ve üzeri,AI - ML Developer / Engineer,Senior,9-12 Yıl,"C, C++
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Python
R",Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Hybrid,51-150,Backend Developer / Engineer,Mid,3-5 Yıl,C# / .NET Framework,Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,10.000 ve üzeri,Fullstack Developer / Engineer,Mid,5-7 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler",Euro,1,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Remote,5.000-10.000,iOS Developer,Mid,3-5 Yıl,,Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Hybrid,151-300,Backend Developer / Engineer,Mid,1-3 Yıl,"C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,21-50,Backend Developer / Engineer,Yeni mezun,0-1 Yıl,Java ve bağlı framework'ler,Türk Lirası,1,26.803 TL - 29.801 TL
Erkek,,Hybrid,301-600,Frontend Developer / Engineer,Junior,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Euro,1,105.103 TL - 127.552 TL
Kadın,34 İstanbul,Hybrid,10.000 ve üzeri,Q/A - Test Automation Engineer,Junior,1-3 Yıl,"Java ve bağlı framework'ler
No-code / Low-code Araçları",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,,Remote,1-10,AI - ML Developer / Engineer,Mid,1-3 Yıl,"C, C++
ChatGPT
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Microsoft Office Araçları
Python
SQL",Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,,Remote,151-300,Team Lead,Staff,12 Yıl ve üzeri,"C# / .NET Framework
ChatGPT
Python",Sterlin,1,150.003 TL - 195.002 TL
Erkek,34 İstanbul,Remote,1-10,Fullstack Developer / Engineer,Senior,12 Yıl ve üzeri,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Flutter
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
PHP",Türk Lirası,1,82.653 TL - 105.102 TL
Erkek,06 Ankara,Ofiste,10.000 ve üzeri,Team Lead,Senior,7-9 Yıl,"C# / .NET Framework
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
SQL",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Ofiste,11-20,Backend Developer / Engineer,Mid,3-5 Yıl,"C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman",Türk Lirası,2,54.952 TL - 67.202 TL
Kadın,06 Ankara,Ofiste,51-150,Backend Developer / Engineer,Junior,1-3 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Hybrid,301-600,Fullstack Developer / Engineer,Junior,1-3 Yıl,"C# / .NET Framework
DevOps araçları
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL",Türk Lirası,1,29.802 TL - 37.252 TL
Erkek,06 Ankara,Ofiste,51-150,Fullstack Developer / Engineer,Senior,12 Yıl ve üzeri,"C# / .NET Framework
DevOps araçları
Flutter
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Kadın,,Hybrid,601-1.000,Business Analyst,Senior,9-12 Yıl,"C# / .NET Framework
SQL",Türk Lirası,2,127.553 TL - 150.002 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,SAP Consultant,Junior,0-1 Yıl,"ABAP
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
SAP
SQL",Türk Lirası,1,17.002 TL - 22.451 TL
Erkek,,Remote,301-600,Backend Developer / Engineer,Junior,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Golang
SQL",Dolar,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,Software Engineer,Mid,3-5 Yıl,"ChatGPT
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
NoSQL
SQL",Türk Lirası,2,54.952 TL - 67.202 TL
Kadın,34 İstanbul,Remote,1.000-5.000,Data Engineer,Mid,3-5 Yıl,"Linux
Python
SQL",Dolar,1,54.952 TL - 67.202 TL
Erkek,35 İzmir,Hybrid,1.000-5.000,Team Lead,Senior,12 Yıl ve üzeri,C# / .NET Framework,Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Remote,21-50,Team Lead,Senior,5-7 Yıl,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Ruby
SQL",Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Hybrid,51-150,Fullstack Developer / Engineer,Junior,1-3 Yıl,"Java ve bağlı framework'ler
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Hybrid,10.000 ve üzeri,Site Reliability Engineer,Senior,3-5 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Hybrid,1-10,Backend Developer / Engineer,Junior,1-3 Yıl,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
NoSQL
SQL",Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Hybrid,51-150,System Support Engineer,Junior,0-1 Yıl,"C# / .NET Framework
Microsoft Office Araçları
SQL",Türk Lirası,1,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Remote,51-150,Backend Developer / Engineer,Senior,9-12 Yıl,Python,Türk Lirası,1,82.653 TL - 105.102 TL
Kadın,59 Tekirdağ,Remote,301-600,Backend Developer / Engineer,Mid,1-3 Yıl,"C# / .NET Framework
SQL",Türk Lirası,1,29.802 TL - 37.252 TL
Erkek,06 Ankara,Ofiste,,Fullstack Developer / Engineer,Senior,5-7 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
NoSQL
SQL",Türk Lirası,1,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Hybrid,51-150,System Administrator,Mid,1-3 Yıl,"DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,,Remote,51-150,Frontend Developer / Engineer,Mid,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Hybrid,5.000-10.000,Backend Developer / Engineer,Mid,3-5 Yıl,Java ve bağlı framework'ler,Türk Lirası,1,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Backend Developer / Engineer,Senior,5-7 Yıl,"Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,06 Ankara,Ofiste,301-600,Fullstack Developer / Engineer,Senior,12 Yıl ve üzeri,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Golang
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
NoSQL
PHP
SQL",Türk Lirası,2,127.553 TL - 150.002 TL
Erkek,34 İstanbul,Remote,301-600,Tech Lead,Staff,7-9 Yıl,"C# / .NET Framework
DevOps araçları
Flutter
Javascript / Typescript ve bağlı framework'ler
NoSQL
SQL",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Ofiste,21-50,Fullstack Developer / Engineer,Senior,9-12 Yıl,"C# / .NET Framework
Flutter
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,21-50,Backend Developer / Engineer,Senior,12 Yıl ve üzeri,"C# / .NET Framework
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Ofiste,151-300,Frontend Developer / Engineer,Junior,0-1 Yıl,"ChatGPT
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,1,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Hybrid,51-150,Cloud Engineer,Senior,7-9 Yıl,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Linux",Türk Lirası,1,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Ofiste,51-150,Fullstack Developer / Engineer,Junior,1-3 Yıl,"Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Python
SQL",Türk Lirası,1,26.803 TL - 29.801 TL
Kadın,34 İstanbul,Remote,10.000 ve üzeri,AI - ML Developer / Engineer,Mid,1-3 Yıl,"Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
NoSQL
Python",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Ofiste,151-300,Embedded Developer / Engineer,Junior,1-3 Yıl,"C, C++
Linux
Python",Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,11-20,Frontend Developer / Engineer,Junior,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,17.002 TL - 22.451 TL
Erkek,35 İzmir,Ofiste,601-1.000,System Administrator,Senior,5-7 Yıl,,Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,22 Edirne,Ofiste,1-10,Fullstack Developer / Engineer,Mid,7-9 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
SQL",Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Hybrid,21-50,Backend Developer / Engineer,Mid,1-3 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,38 Kayseri,Ofiste,1-10,Software Engineer,Senior,7-9 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,06 Ankara,Hybrid,21-50,Project Manager,Senior,7-9 Yıl,"Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Remote,5.000-10.000,Backend Developer / Engineer,Senior,7-9 Yıl,"DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Linux
NoSQL
PHP
SQL",Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Hybrid,51-150,Android Developer,Senior,5-7 Yıl,"ChatGPT
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kotlin
Swift",Türk Lirası,4 veya üzeri,105.103 TL - 127.552 TL
Erkek,,Ofiste,5.000-10.000,Backend Developer / Engineer,Senior,9-12 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,54 Sakarya,Hybrid,1-10,Fullstack Developer / Engineer,Junior,0-1 Yıl,"Javascript / Typescript ve bağlı framework'ler
NoSQL
PHP
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Data Analyst,Mid,3-5 Yıl,"DevOps araçları
Python
SQL",Türk Lirası,1,67.203 TL - 82.652 TL
Erkek,06 Ankara,Ofiste,21-50,Software Engineer,Mid,3-5 Yıl,"C# / .NET Framework
SQL",Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,1-10,Android Developer,Junior,0-1 Yıl,Kotlin,Türk Lirası,1,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,301-600,Mobile Developer(Cross Platform),Junior,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,26.803 TL - 29.801 TL
Erkek,34 İstanbul,Remote,151-300,Team Lead,Senior,9-12 Yıl,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Python
SQL",Türk Lirası,2,127.553 TL - 150.002 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,Fullstack Developer / Engineer,Junior,1-3 Yıl,"DevOps araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Kubernetes
Microsoft Office Araçları
SQL",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,06 Ankara,Ofiste,1.000-5.000,Embedded Developer / Engineer,Senior,7-9 Yıl,"C, C++
Linux",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,35 İzmir,Hybrid,1.000-5.000,Q/A - Test Automation Engineer,Senior,9-12 Yıl,"DevOps araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
PHP
Python
SAP
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Hybrid,1-10,Data Scientist,Mid,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Python",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Hybrid,51-150,Frontend Developer / Engineer,Mid,1-3 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,,Remote,51-150,Software Engineer,Mid,1-3 Yıl,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Python",Euro,1,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Remote,151-300,Backend Developer / Engineer,Mid,5-7 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Linux
Python
SQL",Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,51-150,Software Architect,Senior,9-12 Yıl,"C# / .NET Framework
Microsoft Office Araçları
SQL",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,06 Ankara,Ofiste,51-150,IT Specialist,Senior,12 Yıl ve üzeri,"DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Linux
Python
SQL",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,DevOps,Mid,3-5 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,Backend Developer / Engineer,Junior,1-3 Yıl,"Docker / containerd / Hyper-V / LXC / Podman
Golang
Java ve bağlı framework'ler
Kotlin
NoSQL",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,16 Bursa,Hybrid,11-20,Frontend Developer / Engineer,Senior,1-3 Yıl,"ChatGPT
Javascript / Typescript ve bağlı framework'ler
PHP",Dolar,2,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Remote,51-150,Business Analyst,Senior,3-5 Yıl,"Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,06 Ankara,Ofiste,1.000-5.000,SAP Consultant,Senior,5-7 Yıl,"Linux
SAP",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,58 Sivas,Remote,21-50,Backend Developer / Engineer,Mid,3-5 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman",Türk Lirası,3,44.704 TL - 54.951 TL
Kadın,06 Ankara,Ofiste,10.000 ve üzeri,Fullstack Developer / Engineer,Senior,9-12 Yıl,"C# / .NET Framework
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Microsoft Office Araçları
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Hybrid,301-600,iOS Developer,Senior,5-7 Yıl,Swift,Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Frontend Developer / Engineer,Mid,3-5 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,51-150,System Administrator,Junior,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Microsoft Office Araçları",Türk Lirası,1,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Ofiste,5.000-10.000,Software Engineer,Junior,0-1 Yıl,"DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux",Türk Lirası,1,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Ofiste,21-50,Fullstack Developer / Engineer,Mid,3-5 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,1-10,Fullstack Developer / Engineer,Junior,0-1 Yıl,"DevOps araçları
Javascript / Typescript ve bağlı framework'ler
PHP",Türk Lirası,1,17.002 TL - 22.451 TL
Erkek,06 Ankara,Remote,301-600,Frontend Developer / Engineer,Yeni mezun,0-1 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,1,26.803 TL - 29.801 TL
Belirtmek İstemiyorum,,Ofiste,10.000 ve üzeri,Data Warehouse Developer,Yeni mezun,12 Yıl ve üzeri,"Adobe CC araçları
ABAP
C# / .NET Framework
C, C++
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Flutter
Golang
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kotlin
Kubernetes
Linux
Microsoft Office Araçları
No-code / Low-code Araçları
NoSQL
PHP
Python
R
Ruby
Rust
SAP
SQL
Solidity
Swift
Salesforce",İsviçre Frangı,4 veya üzeri,373.503 TL ve üzeri
Erkek,,Hybrid,10.000 ve üzeri,Enterprise Architect,Staff,12 Yıl ve üzeri,SQL,Dolar,1,239.003 TL - 298.752 TL
Erkek,34 İstanbul,Remote,51-150,Product Owner,Senior,12 Yıl ve üzeri,"Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
No-code / Low-code Araçları
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,35 İzmir,Remote,1-10,Fullstack Developer / Engineer,Mid,1-3 Yıl,"C# / .NET Framework
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Linux
Microsoft Office Araçları
Python
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,ABAP Consultant,Senior,3-5 Yıl,"ABAP
Cloud araçları ( AWS, Azure, GCP vs)
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Hybrid,301-600,Software Engineer,Mid,1-3 Yıl,"DevOps araçları
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,06 Ankara,Ofiste,11-20,CTO (Chief Technology Officer),Senior,12 Yıl ve üzeri,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Microsoft Office Araçları
NoSQL
PHP
SQL",Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,35 İzmir,Hybrid,11-20,Team Lead,Senior,9-12 Yıl,"C# / .NET Framework
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Euro,1,82.653 TL - 105.102 TL
Erkek,06 Ankara,Remote,151-300,Frontend Developer / Engineer,Senior,3-5 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Hybrid,151-300,SAP Consultant,Senior,3-5 Yıl,"ABAP
SAP",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Ofiste,301-600,Embedded Developer / Engineer,Senior,5-7 Yıl,"C, C++
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux",Türk Lirası,4 veya üzeri,105.103 TL - 127.552 TL
Erkek,06 Ankara,Hybrid,151-300,Cyber Security Engineer,Senior,5-7 Yıl,"Linux
Microsoft Office Araçları",Türk Lirası,1,82.653 TL - 105.102 TL
Erkek,,Remote,11-20,Backend Developer / Engineer,Mid,1-3 Yıl,Python,Dolar,1,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Frontend Developer / Engineer,Junior,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Hybrid,11-20,Fullstack Developer / Engineer,Mid,0-1 Yıl,"Adobe CC araçları
Javascript / Typescript ve bağlı framework'ler
PHP",Türk Lirası,1,37.253 TL - 44.703 TL
Erkek,48 Muğla,Ofiste,21-50,Diğer,Staff,9-12 Yıl,"Figma / XD ve diğer tasarım araçları
SQL",Türk Lirası,1,17.002 TL - 22.451 TL
Erkek,41 Kocaeli,Hybrid,5.000-10.000,Frontend Developer / Engineer,Junior,1-3 Yıl,"Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,54.952 TL - 67.202 TL
Kadın,34 İstanbul,Remote,1-10,Frontend Developer / Engineer,Yeni mezun,0-1 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,1,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Remote,151-300,Business Analyst,Mid,3-5 Yıl,SQL,Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Ofiste,51-150,Fullstack Developer / Engineer,Mid,3-5 Yıl,"DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Flutter
Golang
Javascript / Typescript ve bağlı framework'ler
NoSQL
PHP",Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,151-300,Backend Developer / Engineer,Mid,1-3 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Ofiste,5.000-10.000,Frontend Developer / Engineer,Junior,0-1 Yıl,"Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,67.203 TL - 82.652 TL
Kadın,01 Adana,Hybrid,1-10,Software Engineer,Mid,1-3 Yıl,"C# / .NET Framework
SQL",Türk Lirası,2,17.002 TL - 22.451 TL
Erkek,34 İstanbul,Hybrid,151-300,Android Developer,Mid,3-5 Yıl,"Java ve bağlı framework'ler
Kotlin",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,,Hybrid,51-150,Data Scientist,Junior,0-1 Yıl,"Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Python
SQL",Euro,1,82.653 TL - 105.102 TL
Erkek,41 Kocaeli,Remote,5.000-10.000,Cyber Security Engineer,Mid,3-5 Yıl,"Kubernetes
Linux",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Remote,51-150,Software Engineer,Senior,9-12 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
SQL",Türk Lirası,1,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Remote,11-20,Team Lead,Senior,7-9 Yıl,"C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Linux
NoSQL
SQL",Türk Lirası,1,82.653 TL - 105.102 TL
Kadın,,Remote,601-1.000,Salesforce Consultant,Mid,1-3 Yıl,"Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
Salesforce",Türk Lirası,1,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,51-150,Backend Developer / Engineer,Senior,9-12 Yıl,"C# / .NET Framework
ChatGPT
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Flutter
Kubernetes
SQL
Salesforce",Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Remote,1-10,Frontend Developer / Engineer,Yeni mezun,0-1 Yıl,"Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,1,17.002 TL - 22.451 TL
Erkek,34 İstanbul,Remote,601-1.000,Cyber Security Engineer,Mid,1-3 Yıl,Kubernetes,Türk Lirası,3,82.653 TL - 105.102 TL
