Cinsiyet,Şirketiniz hangi şehirde? (Eğer Türkiye ise),Çalışma şekliniz nedir?,Şirketinizin çalışan sayısı nedir?,Hangi pozisyonda çalışıyorsunuz?,Çalıştığınız şirketteki unvanınız nedir?,Deneyim,Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?,Kazancınız hangi para biriminde?,Senede kaç kez zam alıyorsunuz?,"Maaş / Aylık Türk Lirası cinsinden          (Ortalama ""NET"" ücret)"
Erkek,,Remote,21-50,Fullstack Developer / Engineer,Mid,3-5 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
NoSQL
PHP
SQL",Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Ofiste,10.000 ve üzeri,Fullstack Developer / Engineer,Mid,1-3 Yıl,C# / .NET Framework,Türk Lirası,1,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,10.000 ve üzeri,Database Administrator,Senior,3-5 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Linux
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,,Remote,,ABAP Consultant,Yeni mezun,0-1 Yıl,,Türk Lirası,,17.002 TL - 22.451 TL
Erkek,06 Ankara,Hybrid,151-300,Team Lead,Senior,9-12 Yıl,"DevOps araçları
Flutter
Javascript / Typescript ve bağlı framework'ler
Kotlin",Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,06 Ankara,Hybrid,21-50,Software Engineer,Senior,5-7 Yıl,C# / .NET Framework,Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Remote,5.000-10.000,Backend Developer / Engineer,Mid,3-5 Yıl,"C# / .NET Framework
SQL",Türk Lirası,1,44.704 TL - 54.951 TL
Kadın,34 İstanbul,Ofiste,10.000 ve üzeri,Data Scientist,Junior,0-1 Yıl,"Python
SQL",Türk Lirası,2,26.803 TL - 29.801 TL
Erkek,35 İzmir,Remote,1-10,Backend Developer / Engineer,Junior,1-3 Yıl,"Javascript / Typescript ve bağlı framework'ler
Linux
NoSQL
Python",Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,21-50,Software Development Manager,Staff,12 Yıl ve üzeri,"C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
Flutter
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Microsoft Office Araçları
SQL",Türk Lirası,2,150.003 TL - 195.002 TL
Erkek,35 İzmir,Hybrid,51-150,Team Lead,Mid,3-5 Yıl,"No-code / Low-code Araçları
SQL",Türk Lirası,2,54.952 TL - 67.202 TL
Kadın,34 İstanbul,Hybrid,301-600,Frontend Developer / Engineer,Junior,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,1,29.802 TL - 37.252 TL
Erkek,,Remote,1.000-5.000,Q/A - Test Automation Engineer,Mid,3-5 Yıl,Java ve bağlı framework'ler,Euro,1,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Ofiste,1.000-5.000,Research Engineer,Mid,1-3 Yıl,"Linux
Python",Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,,Backend Developer / Engineer,Junior,1-3 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Golang
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Kadın,06 Ankara,Remote,601-1.000,iOS Developer,Mid,1-3 Yıl,Swift,Türk Lirası,4 veya üzeri,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,Frontend Developer / Engineer,Senior,3-5 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Hybrid,151-300,Fullstack Developer / Engineer,Senior,12 Yıl ve üzeri,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Golang
NoSQL
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,06 Ankara,Hybrid,1-10,Backend Developer / Engineer,Mid,1-3 Yıl,"C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
SQL",Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,,Remote,1.000-5.000,Backend Developer / Engineer,Mid,5-7 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
SQL",Sterlin,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,51-150,Backend Developer / Engineer,Senior,5-7 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
SQL",Dolar,1,67.203 TL - 82.652 TL
Kadın,35 İzmir,Ofiste,21-50,Business Analyst,Yeni mezun,0-1 Yıl,"ChatGPT
Microsoft Office Araçları",Türk Lirası,1,22.452 TL - 26.802 TL
Kadın,34 İstanbul,Hybrid,51-150,Fullstack Developer / Engineer,Yeni mezun,0-1 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,41 Kocaeli,Remote,1-10,Fullstack Developer / Engineer,Junior,1-3 Yıl,"C# / .NET Framework
ChatGPT
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,1,22.452 TL - 26.802 TL
Kadın,06 Ankara,Hybrid,1.000-5.000,Integration Developer,Yeni mezun,0-1 Yıl,,Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,67 Zonguldak,Remote,11-20,SAP Consultant,Junior,1-3 Yıl,"ABAP
Microsoft Office Araçları
SQL",Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Remote,301-600,UI/UX Designer,Senior,7-9 Yıl,"Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Dolar,1,54.952 TL - 67.202 TL
