gender,city,work_type,company_size,position,level,experience,tech_stack,currency,raise_period,salary
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Full Stack Developer,Senior,7 - 10 Yıl,.Net;JavaScript | Html | Css;Vue,₺ - Türk Lirası,2,105.000 - 109.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Software Development Manager / Engineering Manager,Senior,10 - 12 Yıl,Java,₺ - Türk Lirası,2,190.000 - 194.999
Erkek,İstanbul,Remote,51 - 100 Kişi,Data Scientist,Senior,3 - 5 Yıl,Python,₺ - Türk Lirası,2,69.000 - 69.999
Erkek,Ankara,Remote,250+,Front-end Developer,Middle,3 - 5 Yıl,NodeJS;JavaScript | Html | Css;React;Vue,₺ - Türk Lirası,2,68.000 - 68.999
Erkek,İstanbul,Hibrit (Ofis + Remote),101 - 249 Kişi,Back-end Developer,Senior,10 - 12 Yıl,.Net;Go;Angular,₺ - Türk Lirası,2,145.000 - 149.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Back-end Developer,Senior,5 - 7 Yıl,.Net,₺ - Türk Lirası,2,90.000 - 94.999
Erkek,Antalya,Remote,21 - 50 Kişi,Front-end Developer,Middle,3 - 5 Yıl,JavaScript | Html | Css;React;Angular,₺ - Türk Lirası,2,40.000 - 40.999
Erkek,Ankara,Hibrit (Ofis + Remote),250+,Team / Tech Lead,Senior,7 - 10 Yıl,Java,₺ - Türk Lirası,2,115.000 - 119.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Data Scientist,Junior,1 - 3 Yıl,Python,₺ - Türk Lirası,2,43.000 - 43.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Back-end Developer,Senior,7 - 10 Yıl,.Net,₺ - Türk Lirası,4,130.000 - 134.999
Erkek,İstanbul,Şu an remote ama hibrite döneceğiz.,11 - 20 Kişi,Team / Tech Lead,Senior,12 - 14 Yıl,.Net,₺ - Türk Lirası,2,110.000 - 114.999
Erkek,İstanbul,Remote,250+,Mobile Application Developer (Full Stack),Junior,1 - 3 Yıl,Flutter,₺ - Türk Lirası,2,45.000 - 45.999
Erkek,İstanbul,Hibrit (Ofis + Remote),11 - 20 Kişi,Team / Tech Lead,Senior,5 - 7 Yıl,Java;Python;JavaScript | Html | Css;React;Angular,₺ - Türk Lirası,2,75.000 - 79.999
Erkek,İstanbul,Hibrit (Ofis + Remote),101 - 249 Kişi,Full Stack Developer,Senior,5 - 7 Yıl,.Net;JavaScript | Html | Css,₺ - Türk Lirası,2,72.000 - 72.999
Kadın,İzmir,Remote,101 - 249 Kişi,Full Stack Developer,Senior,1 - 3 Yıl,.Net;Angular,₺ - Türk Lirası,2,50.000 - 50.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Team / Tech Lead,Senior,10 - 12 Yıl,.Net;React,₺ - Türk Lirası,1,115.000 - 119.999
Erkek,İzmir,Remote,11 - 20 Kişi,Back-end Developer,Senior,5 - 7 Yıl,Python,₺ - Türk Lirası,2,72.000 - 72.999
Erkek,İstanbul,Ofis,51 - 100 Kişi,Data Scientist,Senior,7 - 10 Yıl,Python,₺ - Türk Lirası,1,51.000 - 51.999
Erkek,İzmir,Hibrit (Ofis + Remote),21 - 50 Kişi,Software Development Manager / Engineering Manager,Senior,15 Yıl ve üzeri,Java;.Net;Swift;JavaScript | Html | Css;React;Vue;Angular,₺ - Türk Lirası,1,100.000 - 104.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Full Stack Developer,Senior,5 - 7 Yıl,.Net;Vue,₺ - Türk Lirası,2,75.000 - 79.999
